t	U	P	msd	sigmaxy	f2tdu2
0.89	0.107653	0.305033	0.309639	-1.44494	22.4101
0.9	0.099097	0.30495	0.319552	-0.343793	1.63896
0.91	0.104135	0.305033	0.321868	-1.89151	6.06603
0.92	0.0874543	0.3047	0.317339	-0.88845	0.605187
0.93	0.0874851	0.304677	0.323562	-0.418334	1.59579
0.94	0.107612	0.305111	0.335546	-2.07111	4.60272
0.95	0.106705	0.305039	0.339788	0.942414	12.6356
0.96	0.102616	0.304924	0.337467	0.521024	16.3628
0.97	0.0881619	0.304641	0.335314	0.262575	8.35508
0.98	0.0928005	0.304772	0.33738	-0.271628	4.94726
0.99	0.0848878	0.304638	0.345179	-0.464835	-0.183817
1	0.0812109	0.304555	0.34512	0.079864	0.0295181
1.01	0.0744525	0.304419	0.346982	0.485452	-1.96922
1.02	0.098302	0.304936	0.352442	1.82324	2.07595
1.03	0.10682	0.305073	0.353855	2.00792	8.88376
1.04	0.136231	0.305594	0.358264	1.18794	37.3782
1.05	0.13361	0.305541	0.358482	0.331597	34.9373
1.06	0.112097	0.305204	0.369388	2.65707	5.50327
1.07	0.130968	0.305575	0.377587	5.03773	12.1868
1.08	0.108042	0.30513	0.381017	4.96082	3.38323
1.09	0.0858853	0.304673	0.379125	6.62096	-1.11668
1.1	0.0822726	0.304589	0.381147	5.51919	-1.40283
1.11	0.0814308	0.304562	0.377527	5.10742	-1.10988
1.12	0.0822791	0.304576	0.381563	6.72643	-0.665849
1.13	0.118709	0.305234	0.380429	13.5464	27.4081
1.14	0.102045	0.304956	0.381595	8.9633	7.05433
1.15	0.100604	0.304928	0.391065	9.48071	7.56618
1.16	0.105137	0.304972	0.388148	10.6748	18.6001
1.17	0.0805554	0.304518	0.380558	5.53769	1.15738
1.18	0.0882281	0.304691	0.396515	3.93374	3.45632
1.19	0.0970871	0.304883	0.398081	1.9598	2.68144
1.2	0.107958	0.305102	0.403921	2.00461	8.98402
1.21	0.0939263	0.304836	0.400505	-0.160601	-0.475524
1.22	0.101994	0.305001	0.405168	-0.467785	0.778036
1.23	0.103692	0.305033	0.404665	-1.72412	3.69719
1.24	0.127741	0.305506	0.404145	-4.13556	19.3876
1.25	0.129859	0.305597	0.403137	-2.14315	8.61095
1.26	0.126952	0.30555	0.407136	-5.36863	5.89224
1.27	0.149066	0.30593	0.407793	-6.68413	25.5289
1.28	0.145615	0.305871	0.404433	-1.63077	19.8586
1.29	0.147584	0.305883	0.405739	0.235902	31.295
1.3	0.133858	0.305638	0.401539	7.48407	19.6118
1.31	0.125427	0.305501	0.409796	4.53892	9.13088
1.32	0.131513	0.305635	0.414807	5.99083	9.37766
1.33	0.139558	0.305787	0.422558	4.04667	12.4796
1.34	0.126166	0.30554	0.428661	3.29525	6.2373
1.35	0.125121	0.30552	0.437052	2.69369	6.09797
1.36	0.117157	0.305341	0.441984	0.807311	7.05932
1.37	0.115419	0.305364	0.446882	0.22718	0.646666
1.38	0.134217	0.305756	0.453977	-0.486472	4.46616
1.39	0.129761	0.30566	0.452185	1.96528	5.35439
