t	U	P	msd	sigmaxy	f2tdu2
4.64	0.135704	0.305888	1.07728	0.814358	-1.51912
4.65	0.142151	0.306007	1.0839	0.374708	2.42806
4.66	0.171972	0.30663	1.07473	0.0219276	8.31386
4.67	0.174109	0.306667	1.07733	-1.88801	9.60949
4.68	0.181481	0.306818	1.07571	-6.50626	9.35324
4.69	0.16505	0.306449	1.09116	-7.62676	10.9509
4.7	0.151538	0.306145	1.09099	-8.06514	15.3231
4.71	0.137328	0.305856	1.09325	-7.14216	7.55342
4.72	0.115765	0.305445	1.11299	-3.13288	-1.15357
4.73	0.123268	0.305617	1.12169	-3.34865	-1.51846
4.74	0.144067	0.306017	1.12558	-6.41435	6.80617
4.75	0.136388	0.305868	1.12961	-4.891	5.76685
4.76	0.13819	0.305909	1.1285	-1.90505	2.77506
4.77	0.13908	0.305938	1.12267	-0.419404	1.4463
4.78	0.148904	0.306138	1.13247	1.7457	5.06678
4.79	0.143512	0.306038	1.13981	2.22395	2.41328
4.8	0.131346	0.305787	1.14688	3.38345	-0.967739
4.81	0.137423	0.30592	1.14248	2.35017	-0.612401
4.82	0.130977	0.305773	1.1436	3.18277	-1.71983
4.83	0.1469	0.306063	1.14402	4.81343	6.02466
4.84	0.127394	0.305675	1.1402	1.08803	0.275861
4.85	0.13498	0.305844	1.1451	0.607182	0.730147
4.86	0.134385	0.305825	1.14659	0.0766825	0.592611
4.87	0.152048	0.306171	1.1624	-0.908163	8.71347
4.88	0.159608	0.306337	1.16662	1.98832	10.4153
4.89	0.161909	0.306396	1.16559	1.09907	8.1633
4.9	0.147945	0.306093	1.16264	2.52896	5.06848
4.91	0.148879	0.306116	1.16645	5.54506	4.42904
4.92	0.145311	0.306009	1.16356	1.51223	7.87995
4.93	0.141172	0.305935	1.17715	2.35161	5.3
4.94	0.147983	0.306077	1.19201	0.500503	8.17394
4.95	0.168433	0.306428	1.1997	-2.83263	30.9436
4.96	0.161093	0.306317	1.19882	-1.02355	15.0277
4.97	0.136752	0.305848	1.18387	1.11788	4.04435
4.98	0.151605	0.30617	1.19094	2.77032	7.00158
4.99	0.147144	0.306084	1.20705	0.114345	5.16229
5	0.151577	0.306133	1.20388	1.00155	10.8559
5.01	0.143942	0.306027	1.20981	1.71404	1.99231
5.02	0.143651	0.305999	1.21728	1.15885	6.5831
5.03	0.152369	0.306154	1.22888	-0.344606	14.0822
5.04	0.15036	0.306108	1.24027	-1.78713	11.3716
5.05	0.156818	0.306223	1.2398	-2.13505	15.7825
5.06	0.12439	0.305612	1.24317	1.03276	-0.705134
5.07	0.146772	0.306037	1.25439	-3.56085	10.5756
5.08	0.166341	0.306418	1.26932	4.79584	17.1935
5.09	0.166214	0.306465	1.2886	4.44012	9.7158
5.1	0.172413	0.306558	1.29043	4.15831	14.8558
5.11	0.1596	0.306286	1.28477	1.96605	10.8972
5.12	0.180783	0.306684	1.27763	4.30762	24.7042
5.13	0.173419	0.306575	1.28122	11.1658	11.4546
5.14	0.172688	0.306573	1.27731	8.62583	7.53291
5.15	0.167984	0.306491	1.2696	7.56639	7.50369
5.16	0.163037	0.306337	1.27179	6.39403	15.9085
5.17	0.153933	0.306177	1.26887	8.77568	5.73023
5.18	0.148677	0.306077	1.25629	6.03334	6.57743
5.19	0.140738	0.305899	1.25901	3.45091	6.61131
5.2	0.14106	0.305916	1.26116	0.607698	4.83999
5.21	0.135941	0.305776	1.24884	-5.01351	9.28206
5.22	0.125318	0.305584	1.26198	-4.28964	2.73691
5.23	0.132499	0.305738	1.26721	-4.91364	4.2749
5.24	0.134156	0.305744	1.2766	-3.14532	7.11398
5.25	0.122732	0.305501	1.27104	-0.804937	5.24352
5.26	0.123959	0.305541	1.27676	2.7784	4.29749
5.27	0.126079	0.305605	1.28174	3.25617	2.76414
5.28	0.129593	0.305663	1.26892	4.98368	4.55454
5.29	0.142963	0.305941	1.2798	4.50902	8.06137
5.3	0.146041	0.30599	1.28039	5.76852	11.4855
5.31	0.13719	0.305811	1.27989	4.06364	10.6117
5.32	0.131265	0.305694	1.27286	6.31779	10.1167
5.33	0.139289	0.30588	1.26364	6.72338	8.80293
5.34	0.176747	0.306572	1.2653	5.73437	41.6344
5.35	0.144969	0.305987	1.27357	5.843	12.7215
5.36	0.1331	0.30578	1.27705	5.98949	2.44182
5.37	0.130369	0.305726	1.28349	6.81317	0.598513
5.38	0.118606	0.305461	1.26366	6.25826	-0.464348
5.39	0.139119	0.305883	1.28408	4.82218	4.48438
5.4	0.132996	0.305732	1.28312	5.76433	5.7675
5.41	0.132159	0.305712	1.27791	3.14208	5.80304
5.42	0.12343	0.305545	1.27337	2.76699	2.6432
5.43	0.118651	0.305473	1.27421	4.55112	-0.634976
5.44	0.137631	0.305864	1.28197	6.33092	2.96708
5.45	0.145094	0.306047	1.2962	9.27727	2.58174
5.46	0.127284	0.305678	1.29484	8.39153	-0.833999
5.47	0.121217	0.305549	1.28768	7.29932	-1.06206
5.48	0.134621	0.305821	1.29877	7.12434	1.82221
5.49	0.12841	0.305682	1.30322	7.50338	1.2961
5.5	0.133134	0.305741	1.29529	7.59364	10.2091
5.51	0.139976	0.305871	1.30532	8.49473	14.1803
5.52	0.133802	0.305787	1.31414	5.22444	3.65097
5.53	0.129758	0.305726	1.31698	-0.691344	-0.155136
5.54	0.13694	0.305871	1.30333	1.76879	1.67899
5.55	0.131031	0.305761	1.31124	2.45884	-0.770472
5.56	0.128439	0.305652	1.31678	3.28844	5.41829
5.57	0.133276	0.305778	1.30655	-0.299792	2.5151
5.58	0.142715	0.305947	1.30115	0.633296	6.24018
5.59	0.131671	0.305762	1.30158	1.33951	0.451077
5.6	0.119518	0.305513	1.30174	-0.937804	-1.46781
5.61	0.159368	0.306309	1.31129	0.0644056	12.0007
5.62	0.153472	0.306181	1.30123	-0.527158	9.23084
5.63	0.160334	0.306323	1.30647	-0.144962	11.1499
5.64	0.138684	0.3059	1.30611	4.74853	3.686
5.65	0.134469	0.305795	1.29468	6.38701	3.29343
5.66	0.139205	0.30587	1.29456	8.18133	8.82317
5.67	0.133657	0.305752	1.31666	6.23134	6.94641
5.68	0.143197	0.305957	1.33392	2.82106	7.24653
5.69	0.154297	0.30619	1.35389	-1.15512	10.5514
5.7	0.139477	0.305907	1.35286	-0.634304	2.78497
5.71	0.140284	0.305923	1.36473	-0.392486	3.41478
5.72	0.150725	0.306118	1.37076	1.98097	7.87593
5.73	0.161922	0.306402	1.36783	1.08418	4.31421
5.74	0.175168	0.306654	1.37816	3.63676	12.9354
5.75	0.143242	0.306027	1.35551	1.87495	0.101754
5.76	0.146585	0.306047	1.35383	1.21059	6.62737
5.77	0.144394	0.305994	1.35716	-2.73172	6.20651
5.78	0.152882	0.306172	1.34769	-1.27309	8.48909
5.79	0.166737	0.306472	1.36595	6.46791	10.6218
5.8	0.163959	0.306445	1.37659	-1.51354	5.51226
5.81	0.175841	0.306719	1.39216	-2.47801	6.44395
5.82	0.184523	0.30689	1.40483	-2.34123	11.1198
5.83	0.180123	0.306835	1.40405	-4.63945	4.77278
5.84	0.19034	0.307053	1.4158	-4.95307	7.18299
5.85	0.187405	0.30697	1.41584	1.71118	9.9397
5.86	0.210277	0.307437	1.41377	1.72528	19.8312
5.87	0.188622	0.30697	1.41096	-0.138369	14.4428
5.88	0.219059	0.307505	1.39653	2.56517	48.7788
5.89	0.178667	0.30677	1.38703	-0.160601	11.8649
5.9	0.175191	0.306703	1.41548	3.58317	10.3051
5.91	0.180473	0.306801	1.41612	1.24605	12.8849
5.92	0.205817	0.307252	1.41741	-0.288423	34.167
5.93	0.217101	0.307466	1.42391	2.77688	36.4179
5.94	0.201224	0.307153	1.41853	6.41895	27.8409
5.95	0.168991	0.306544	1.39609	3.38591	9.08638
5.96	0.188646	0.306916	1.40956	7.63157	23.3752
5.97	0.170786	0.306543	1.41	9.7427	16.7618
5.98	0.136933	0.305845	1.40852	1.9456	5.26211
5.99	0.120988	0.305525	1.41384	2.28685	-0.0317694
6	0.137413	0.30584	1.42927	6.10959	8.59012
6.01	0.153788	0.306204	1.42687	9.77014	7.26394
6.02	0.181186	0.306749	1.43892	3.49668	14.6109
6.03	0.159229	0.306341	1.4546	-0.668178	5.34639
6.04	0.158844	0.306256	1.4482	0.690882	21.7073
6.05	0.173256	0.306534	1.43814	2.02343	28.1933
6.06	0.154985	0.306234	1.43522	-5.37475	5.33469
6.07	0.144151	0.306014	1.44633	-3.3406	4.02577
6.08	0.149668	0.306129	1.4527	-4.96699	4.276
6.09	0.124518	0.305601	1.45977	-4.92531	-0.612267
6.1	0.122906	0.305554	1.45313	-4.01653	0.278513
6.11	0.15383	0.306198	1.46944	-5.84656	8.49707
6.12	0.144611	0.305992	1.47272	-1.80532	8.25761
6.13	0.133871	0.30577	1.46957	-2.15884	4.74089
6.14	0.127851	0.305651	1.49031	0.0649627	1.36701
6.15	0.110944	0.305294	1.50639	1.93925	-0.779166
6.16	0.102932	0.305152	1.50686	-1.06177	-3.90535
6.17	0.114145	0.305392	1.50681	-2.04436	-2.27597
6.18	0.111114	0.305322	1.51364	-2.11891	-2.1701
6.19	0.129622	0.305715	1.52418	-0.50235	0.70795
6.2	0.158822	0.306301	1.54348	1.57869	11.8399
6.21	0.155045	0.306244	1.55199	1.07537	7.60011
6.22	0.141611	0.305985	1.54535	0.622868	2.82708
6.23	0.161201	0.306345	1.5554	-0.102116	15.21
6.24	0.161476	0.306421	1.54452	-2.65529	4.9491
6.25	0.16781	0.306531	1.5489	-3.63838	9.46977
6.26	0.17098	0.306624	1.5512	1.04542	6.81911
6.27	0.159872	0.306401	1.54921	5.1137	1.2263
6.28	0.16774	0.306551	1.5543	6.1892	6.16897
6.29	0.182598	0.306843	1.57024	4.95597	10.4295
6.3	0.165497	0.306505	1.55155	7.14078	4.57392
6.31	0.175456	0.306692	1.5519	7.40905	9.89551
6.32	0.168823	0.306538	1.55663	5.62657	9.51034
6.33	0.161635	0.306397	1.55636	3.32342	6.46932
6.34	0.175504	0.306671	1.54926	1.75176	14.3842
6.35	0.15467	0.306277	1.54603	1.45207	5.20281
6.36	0.147782	0.306135	1.53843	-1.66666	3.04451
6.37	0.140265	0.305969	1.54178	-0.267108	1.42568
6.38	0.143767	0.306038	1.53873	5.34835	2.14665
6.39	0.147578	0.306072	1.54002	-2.56574	9.61349
6.4	0.150567	0.306179	1.54023	1.26629	3.97031
6.41	0.167809	0.306542	1.5623	1.56396	7.70702
6.42	0.160105	0.306361	1.55993	0.267658	8.87619
6.43	0.170686	0.306591	1.55729	-0.106677	9.51
6.44	0.167775	0.306538	1.54704	0.636522	5.95472
6.45	0.179228	0.306757	1.55283	1.37245	12.9321
6.46	0.18221	0.30683	1.53902	8.75771	10.3073
6.47	0.174166	0.306666	1.53041	9.96251	9.11908
6.48	0.217118	0.307477	1.53435	10.4485	36.4427
6.49	0.183	0.306822	1.54259	12.7136	16.2951
6.5	0.156507	0.306307	1.54527	10.5589	3.55232
6.51	0.17839	0.306762	1.53963	10.7518	12.7837
6.52	0.168482	0.306599	1.54111	13.3054	3.87699
6.53	0.146695	0.306136	1.54862	7.87424	0.509593
6.54	0.149611	0.306206	1.54972	5.54637	0.334767
6.55	0.168952	0.30659	1.56205	5.09147	6.12634
6.56	0.166428	0.306529	1.56263	7.50879	6.83806
6.57	0.180164	0.306828	1.55696	7.58811	7.10624
6.58	0.213904	0.30745	1.55317	11.1039	38.9459
6.59	0.184503	0.306857	1.55749	13.5092	24.7702
6.6	0.164796	0.30648	1.55377	7.99214	10.5532
6.61	0.170371	0.306597	1.5703	8.06731	11.0811
6.62	0.176163	0.306743	1.57594	9.75374	8.32657
6.63	0.22919	0.307801	1.57689	16.9208	31.2786
6.64	0.196005	0.30714	1.56121	7.96	15.6562
6.65	0.187868	0.306963	1.56872	4.62841	15.2199
6.66	0.165749	0.306507	1.56365	1.96929	6.56529
6.67	0.199422	0.307112	1.5702	-7.65745	45.0015
6.68	0.197882	0.307175	1.57609	-10.7684	15.2092
6.69	0.18537	0.306955	1.58111	-4.58306	5.87114
6.7	0.196938	0.307159	1.59389	-13.8176	14.5453
6.71	0.199317	0.307199	1.59939	-9.0577	18.0781
6.72	0.173677	0.306723	1.60368	-3.78327	2.22569
6.73	0.173677	0.306682	1.5998	0.179442	8.6804
6.74	0.167015	0.306517	1.58726	-4.67092	12.2083
6.75	0.164906	0.306515	1.60661	-2.31639	4.24549
6.76	0.161062	0.306413	1.6162	-2.6024	5.55601
6.77	0.169424	0.306589	1.6151	2.48034	5.40362
6.78	0.161899	0.306432	1.61833	1.18588	3.90358
6.79	0.191934	0.307015	1.62052	-5.05543	14.6179
6.8	0.165183	0.306485	1.62662	-5.8193	7.92179
6.81	0.178627	0.30673	1.61887	-7.61032	17.8746
6.82	0.153191	0.30623	1.62028	-0.751438	3.31491
6.83	0.144835	0.30607	1.64323	1.78305	1.22386
6.84	0.158602	0.306352	1.65254	0.811076	3.56012
6.85	0.154341	0.306266	1.65275	2.45668	2.50571
6.86	0.155904	0.306294	1.6522	5.95451	3.80517
6.87	0.146197	0.30612	1.65311	7.05665	0.796223
6.88	0.154616	0.30631	1.64918	5.2655	2.46323
6.89	0.143257	0.306066	1.63363	2.89325	-0.189812
6.9	0.146736	0.306112	1.62085	4.02496	3.27785
6.91	0.196263	0.30707	1.62619	11.2154	28.9604
6.92	0.167224	0.306524	1.60262	9.17399	10.9416
6.93	0.142397	0.306022	1.59728	5.09316	2.05718
6.94	0.152003	0.306229	1.61062	2.69372	3.67546
6.95	0.167816	0.306572	1.61043	1.64013	5.10489
6.96	0.199762	0.307219	1.60638	-3.49441	16.3747
6.97	0.196915	0.307184	1.60366	-1.49012	11.9367
6.98	0.204517	0.30733	1.61709	2.86024	20.5583
6.99	0.23388	0.307894	1.60368	0.644658	35.3882
7	0.245702	0.308193	1.60658	3.03095	26.5869
7.01	0.242508	0.308133	1.63496	-7.15569	20.3815
7.02	0.272138	0.30866	1.63409	-9.60592	43.2044
7.03	0.257953	0.308373	1.64004	-9.64688	37.232
7.04	0.283626	0.308908	1.66971	-7.28954	44.4441
7.05	0.231169	0.30789	1.66877	-8.3788	22.0204
7.06	0.230001	0.307861	1.6697	-1.21163	19.6668
7.07	0.261355	0.308444	1.67007	4.51418	45.9073
7.08	0.230148	0.307827	1.66051	2.80295	23.8739
7.09	0.242767	0.308035	1.65196	5.9434	42.7806
7.1	0.198347	0.307184	1.63422	2.47352	15.9982
7.11	0.201292	0.307192	1.62006	-1.61835	28.0679
7.12	0.223428	0.307543	1.61642	-6.2191	78.8229
7.13	0.170009	0.306591	1.62083	2.49584	9.38928
7.14	0.162862	0.30647	1.6306	7.19262	3.34016
7.15	0.142149	0.306046	1.61744	3.37237	-1.52074
7.16	0.164547	0.306506	1.63913	4.29018	3.60356
7.17	0.148595	0.306184	1.62559	7.84322	1.06122
7.18	0.147724	0.306185	1.62118	7.30218	-0.883914
7.19	0.157105	0.306358	1.61923	9.05117	1.63789
7.2	0.149901	0.30623	1.61354	9.63894	-1.21516
7.21	0.157508	0.306393	1.61944	9.91457	0.450783
7.22	0.194495	0.30713	1.62562	14.8162	17.2701
7.23	0.20568	0.307389	1.62511	13.7304	12.3733
7.24	0.224294	0.307731	1.6074	15.0621	25.8411
7.25	0.184316	0.30692	1.59976	7.05647	9.1508
7.26	0.188449	0.306985	1.58502	4.06368	14.9709
7.27	0.177283	0.30679	1.61168	2.02643	5.51589
7.28	0.195595	0.307173	1.61878	-1.0875	9.40444
7.29	0.242961	0.308023	1.63512	-3.59681	50.9386
7.3	0.17965	0.306811	1.60648	1.38706	11.3846
7.31	0.171454	0.306609	1.60205	1.21768	15.5638
7.32	0.191758	0.307038	1.58228	-1.30986	13.7165
7.33	0.171685	0.306628	1.57368	0.590487	10.6889
7.34	0.2004	0.307163	1.56603	-5.58383	23.9923
7.35	0.166486	0.306479	1.55988	-1.35185	8.57786
7.36	0.171798	0.306591	1.56341	2.91599	10.2811
7.37	0.130476	0.305748	1.56591	3.11097	-0.856752
7.38	0.141927	0.305957	1.58779	-1.36364	6.81242
7.39	0.150651	0.306117	1.60127	-4.39522	15.9918
7.4	0.135436	0.3058	1.59472	-3.32662	13.7759
7.41	0.143145	0.305972	1.59565	-5.21177	15.7988
7.42	0.169519	0.306494	1.59457	-5.30378	25.9565
7.43	0.14699	0.306116	1.59142	1.58116	2.07929
7.44	0.154571	0.306269	1.60008	-0.745819	3.34365
7.45	0.157534	0.306345	1.59926	0.0797553	2.18949
7.46	0.139173	0.305951	1.5823	-0.564562	-0.204541
7.47	0.141848	0.305981	1.58975	-1.13701	3.41044
7.48	0.175576	0.306583	1.60106	3.78024	31.9662
7.49	0.170809	0.306515	1.60005	-3.82128	23.0221
7.5	0.149533	0.3061	1.6092	-3.97923	9.71285
7.51	0.157536	0.306252	1.61066	-1.50447	13.1115
7.52	0.143714	0.305952	1.60084	-0.1344	11.7287
7.53	0.175961	0.306608	1.6081	0.458986	22.758
7.54	0.152081	0.30613	1.61568	3.0415	15.2036
7.55	0.144094	0.305943	1.59696	4.40237	11.3588
7.56	0.170793	0.306476	1.58138	-1.92921	22.953
7.57	0.185104	0.30679	1.57989	-3.61599	22.1029
7.58	0.193877	0.306991	1.59749	-0.345095	20.3454
7.59	0.202183	0.307114	1.6099	-5.10212	33.7561
7.6	0.181111	0.306736	1.62277	-4.96281	16.1502
7.61	0.170578	0.306543	1.62009	-6.82057	11.9779
7.62	0.172809	0.306571	1.61247	-7.71542	15.7595
7.63	0.16262	0.306378	1.61525	-2.49671	10.187
7.64	0.176946	0.306663	1.62106	0.991149	17.4338
7.65	0.163205	0.306353	1.61379	-3.76464	22.2782
7.66	0.140116	0.305944	1.62038	-2.10906	2.3122
7.67	0.134423	0.305834	1.62148	-3.03693	0.511768
7.68	0.136882	0.305888	1.61476	-1.06902	0.40451
7.69	0.150976	0.306124	1.62285	-0.691425	12.405
7.7	0.172265	0.306521	1.62423	1.25476	34.9788
7.71	0.1867	0.306872	1.64054	3.48589	25.6808
7.72	0.180727	0.306811	1.65147	4.15621	10.0425
7.73	0.150976	0.306192	1.65662	2.42926	3.64979
7.74	0.153443	0.306253	1.64684	5.61325	3.05728
7.75	0.157483	0.306319	1.62583	1.65645	7.03578
7.76	0.15773	0.306295	1.63421	3.73641	8.46161
7.77	0.145455	0.306056	1.63054	0.608673	4.58921
7.78	0.138942	0.30595	1.6321	-2.96135	-0.261903
7.79	0.176093	0.306696	1.63436	-5.97948	11.6308
7.8	0.180185	0.306808	1.65555	-2.0353	8.69918
7.81	0.178865	0.306751	1.64541	1.52305	11.6385
7.82	0.187421	0.306921	1.65153	-4.21311	16.5648
7.83	0.172903	0.30663	1.66709	-9.39915	14.8256
7.84	0.161976	0.306435	1.66615	-4.45824	6.03199
7.85	0.167203	0.306482	1.68287	-6.39279	19.4774
7.86	0.167061	0.306533	1.69149	-3.82984	7.05372
7.87	0.167339	0.306542	1.68462	-0.976598	6.10674
7.88	0.179171	0.3068	1.68659	-2.45133	8.44217
7.89	0.169476	0.306625	1.67047	-1.25475	3.33629
7.9	0.178085	0.306799	1.66373	-3.84126	6.11411
7.91	0.199511	0.307206	1.69166	4.3786	15.4534
7.92	0.200463	0.307249	1.68622	-5.80199	11.9896
7.93	0.180808	0.306861	1.67438	-1.819	3.17891
7.94	0.204189	0.307262	1.67756	-3.24214	25.9296
7.95	0.174327	0.306709	1.67005	-0.709435	3.63978
7.96	0.186392	0.306894	1.66832	-1.8597	13.4082
7.97	0.181195	0.30677	1.66308	2.85777	14.5662
7.98	0.180927	0.306765	1.65048	-2.7332	12.4311
7.99	0.199612	0.307093	1.64695	-6.0587	29.2571
8	0.210128	0.307381	1.6554	-5.22731	23.8924
